Store_ID,City,Store_Area_sqft,Marketing_Spend_Lakhs,No_of_Promotions,Avg_Footfall_per_Day,Monthly_Sales_Lakhs
STR001,Mumbai,914,0.72,11,185,15.06
STR002,Hyderabad,2656,5.48,9,419,28.83
STR003,Bangalore,884,7.12,12,471,29.42
STR004,Hyderabad,1903,4.56,8,313,17.28
STR005,Pune,1201,1.78,8,244,8.99
STR006,Bangalore,2848,3.65,9,288,20.06
STR007,Bangalore,1943,6.11,4,374,31.45
STR008,Mumbai,1942,9.44,4,608,28.85
STR009,Delhi,1653,9.93,8,642,46.07
STR010,Bangalore,1798,2.8,1,228,17.32
STR011,Chennai,2268,0.6,1,80,9.23
STR012,Hyderabad,2300,8.39,7,566,38.37
STR013,Delhi,2200,9.3,8,561,38.92
STR014,Mumbai,1835,4.86,1,352,22.8
STR015,Delhi,2709,7.83,3,464,36.37
STR016,Pune,1724,8.73,8,677,34.43
STR017,Delhi,2756,6.29,5,445,21.49
STR018,Bangalore,1634,8.79,3,508,36.94
STR019,Pune,893,0.73,6,99,9.26
STR020,Mumbai,1110,3.08,9,212,13.62
STR021,Chennai,1482,3.13,1,290,13.91
STR022,Pune,890,1.65,6,166,11.43
STR023,Delhi,945,9.15,4,536,35.85
STR024,Bangalore,944,0.79,12,125,8.01
STR025,Pune,2407,6.89,11,541,34.05
STR026,Mumbai,2454,1.18,5,219,3
STR027,Bangalore,1880,3.93,6,342,15.49
STR028,Hyderabad,1045,4.47,12,367,22.41
STR029,Chennai,974,2.22,9,196,13.12
STR030,Bangalore,1891,5.45,11,288,22.46
STR031,Delhi,1596,5.58,12,324,26.66
STR032,Bangalore,2508,3.51,1,331,19.34
STR033,Delhi,1855,7.5,6,535,35.39
STR034,Bangalore,1434,2.02,10,254,5.52
STR035,Delhi,1717,2.33,4,218,15.49
STR036,Hyderabad,2011,3.87,6,380,20.08
STR037,Hyderabad,1355,4.09,1,241,23.27
STR038,Delhi,2981,2.46,2,240,13.57
STR039,Bangalore,2037,9.23,11,675,34.31
STR040,Delhi,2516,8.37,8,505,32.52
STR041,Bangalore,2937,1.52,8,267,13.89
STR042,Delhi,1814,4.01,8,302,15.99
STR043,Chennai,1414,2.71,3,241,14.29
STR044,Delhi,2955,4.79,4,271,25.59
STR045,Bangalore,2200,3.13,7,347,13.34
STR046,Chennai,965,5.27,5,393,25.25
STR047,Bangalore,2617,9.26,9,475,28.22
STR048,Pune,1213,4.13,3,333,20.8
STR049,Mumbai,1974,6.68,8,526,24.27
STR050,Hyderabad,2880,6.16,6,394,25.97
STR051,Bangalore,1631,7.64,8,486,37.59
STR052,Bangalore,2294,1.09,12,174,12.5
STR053,Chennai,2562,7.58,3,601,36.76
STR054,Bangalore,2858,9.49,10,635,41.59
STR055,Bangalore,2374,6.23,4,496,31.3
STR056,Mumbai,2183,3.23,1,376,15.95
STR057,Mumbai,2788,6.89,3,487,33.06
STR058,Chennai,2743,7.26,10,527,31.58
STR059,Bangalore,882,6.74,10,483,34.86
STR060,Chennai,2793,1.9,5,173,9.04
STR061,Pune,2598,9.75,11,678,39.25
STR062,Chennai,814,9.58,4,595,41.46
STR063,Mumbai,2510,4.53,6,295,21.55
STR064,Delhi,1122,6.14,7,465,25.2
STR065,Chennai,2111,0.88,4,229,3
STR066,Delhi,2300,9.89,9,704,39.5
STR067,Pune,954,8.28,5,591,34.17
STR068,Pune,2610,6.55,12,482,27.54
STR069,Hyderabad,1335,7.73,9,460,35.18
STR070,Bangalore,2637,2.29,2,210,13.87
